Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share
190,Xiao zhu pei qi guo da nian,"$18,653,041 ","$131,225 ","$18,521,816 ",0.70%
191,Hors normes,"$18,588,547 ",,"$18,588,547 ",
192,Black Christmas,"$18,528,789 ","$10,429,730 ","$8,099,059 ",56.29%
193,Kaguya-sama: Love Is War,"$18,516,460 ",,"$18,516,460 ",
194,Motherless Brooklyn,"$18,149,380 ","$9,277,736 ","$8,871,644 ",51.12%
195,Blinded by the Light,"$18,067,151 ","$11,901,145 ","$6,166,006 ",65.87%
196,Yedinci Kogustaki Mucize,"$17,850,333 ",,"$17,850,333 ",
197,Beullaekmeoni,"$17,849,132 ",,"$17,849,132 ",
198,J’accuse,"$17,575,590 ",,"$17,575,590 ",
199,Sabaha,"$17,542,004 ",,"$17,542,004 ",
200,Crayon Shin-chan: Honeymoon Hurricane - The Los…,"$17,533,468 ",,"$17,533,468 ",
201,Politseyskiy s Rublyovki. Novogodniy bespredel 2,"$17,318,734 ",,"$17,318,734 ",
202,Lian Zheng Feng Yun,"$17,314,737 ",,"$17,314,737 ",
203,Jeungin,"$17,214,392 ",,"$17,214,392 ",
204,Il Primo Natale,"$17,005,295 ",,"$17,005,295 ",
205,Shang Hai Bao Lei,"$16,923,672 ",,"$16,923,672 ",
206,Jue Sheng Shi Ke,"$16,841,504 ",,"$16,841,504 ",
207,Les misérables,"$16,817,056 ","$326,655 ","$16,490,401 ",1.94%
208,A Rainy Day in New York,"$16,816,184 ",,"$16,816,184 ",
209,The Lighthouse,"$16,766,809 ","$10,867,104 ","$5,899,705 ",64.81%
210,Total Dhamaal,"$16,688,123 ","$2,167,632 ","$14,520,491 ",12.99%
211,tajja: won aidey jaek,"$16,556,995 ","$97,655 ","$16,459,340 ",0.59%
212,Pinocchio,"$16,474,465 ",,"$16,474,465 ",
213,Xiao Q,"$16,461,652 ","$1,652 ","$16,460,000 ",0.01%
214,Poms,"$16,460,336 ","$13,631,124 ","$2,829,212 ",82.81%
215,Archimedes no Taisen,"$16,454,674 ",,"$16,454,674 ",
216,Prityazhenie 2,"$16,280,295 ",,"$16,280,295 ",
217,PLAYMOBIL,"$16,202,816 ","$1,115,008 ","$15,087,808 ",6.88%
218,Nanatsu no kaigi,"$16,083,213 ",,"$16,083,213 ",
219,Shinui Han Soo: Gwisoopyeon,"$15,993,710 ","$67,578 ","$15,926,132 ",0.42%
220,Padre no hay mas que uno,"$15,912,131 ",,"$15,912,131 ",
221,The Kitchen,"$15,779,653 ","$12,180,032 ","$3,599,621 ",77.19%
222,Au nom de la terre,"$15,408,810 ",,"$15,408,810 ",
223,Nada a Perder 2,"$15,400,333 ",,"$15,400,333 ",
224,Recep Ivedik 6,"$15,387,071 ",,"$15,387,071 ",
225,Miss Bala,"$15,364,632 ","$14,998,027 ","$366,605 ",97.61%
226,The Fable,"$15,183,043 ",,"$15,183,043 ",
227,Boku no H?r? Akademia The Movie H?r?zu: Raijing…,"$15,104,115 ",,"$15,104,115 ",
228,The Dead Don’t Die,"$14,921,389 ","$6,782,066 ","$8,139,323 ",45.45%
229,Naeaneui Geunom,"$14,569,310 ",,"$14,569,310 ",
230,Nicky Larson: Le Parfum De Cupidon,"$14,516,890 ",,"$14,516,890 ",
231,La vie scolaire,"$14,136,095 ",,"$14,136,095 ",
232,Shu dan ying xiong,"$13,994,187 ",,"$13,994,187 ",
233,"Cheonmun: Modneunda, Doors to Heaven","$13,955,219 ",,"$13,955,219 ",
234,Kalank,"$13,932,430 ","$2,729,336 ","$11,203,094 ",19.59%
235,Si yo fuera rico,"$13,768,286 ",,"$13,768,286 ",
236,Cui mian · cai jue,"$13,626,391 ",,"$13,626,391 ",
237,Dabangg 3,"$13,555,007 ","$535,000 ","$13,020,007 ",3.95%
238,bbaengban,"$13,551,495 ",,"$13,551,495 ",
239,"Misz masz, czyli kogel-mogel 3","$13,133,367 ",,"$13,133,367 ",
240,Dark Waters,"$13,082,262 ","$11,136,084 ","$1,946,178 ",85.12%
241,Serenity,"$13,008,804 ","$8,547,045 ","$4,461,759 ",65.70%
242,Bring the Soul: The Movie,"$12,991,509 ","$4,809,800 ","$8,181,709 ",37.02%
243,Friend Zone,"$12,964,399 ",,"$12,964,399 ",
244,Byeonsin,"$12,878,318 ",,"$12,878,318 ",
245,La belle époque,"$12,830,814 ",,"$12,830,814 ",
246,Lo dejo cuando a quiera,"$12,685,377 ",,"$12,685,377 ",
247,Le chant du loup,"$12,480,375 ",,"$12,480,375 ",
248,Donne moi des ailes,"$12,190,014 ",,"$12,190,014 ",
249,Mientras dure la guerra,"$12,180,904 ",,"$12,180,904 ",
250,Girl Cops,"$12,030,796 ","$103,935 ","$11,926,861 ",0.86%
251,Apollo 11,"$11,971,691 ","$9,040,224 ","$2,931,467 ",75.51%
252,Jûni-nin no shinitai kodomo-tachi,"$11,950,916 ",,"$11,950,916 ",
